Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Jay Berwanger,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/jay-berwanger-1.html
Riley Smith,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/riley-smith-1.html
Bill Shakespeare,,http://www.pro-football-reference.com,
Dick Crayne,,http://www.pro-football-reference.com,
Jimmy Lawrence,,http://www.pro-football-reference.com,
Joe Stydahar,,http://www.pro-football-reference.com,
Russ Letlow,,http://www.pro-football-reference.com,
Sid Wagner,,http://www.pro-football-reference.com,
Art Lewis,,http://www.pro-football-reference.com,
John McCauley,,http://www.pro-football-reference.com,
Keith Topping,,http://www.pro-football-reference.com,
Len Barnum,,http://www.pro-football-reference.com,
Vernal (Babe) LeVoir,,http://www.pro-football-reference.com,
Eddie Michaels,,http://www.pro-football-reference.com,
Gomer Jones,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/gomer-jones-1.html
J.W. Wheeler,,http://www.pro-football-reference.com,
Chuck Cheshire,,http://www.pro-football-reference.com,
Tuffy Leemans,,http://www.pro-football-reference.com,
Wes Muller,,http://www.pro-football-reference.com,
Ed Smith,,http://www.pro-football-reference.com,
Bobby Grayson,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/bobby-grayson-2.html
Wagner Jorgensen,,http://www.pro-football-reference.com,
Eddie Erdelatz,,http://www.pro-football-reference.com,
George Roscoe,,http://www.pro-football-reference.com,
Bernie Scherer,,http://www.pro-football-reference.com,
Andy Pilney,,http://www.pro-football-reference.com,
Frank (Butch) Loebs,,http://www.pro-football-reference.com,
Bill Wallace,,http://www.pro-football-reference.com,
Paul Tangora,,http://www.pro-football-reference.com,
Truman Spain,,http://www.pro-football-reference.com,
Paul (Bear) Bryant,,http://www.pro-football-reference.com,
Bob Allman,,http://www.pro-football-reference.com,
Jeep Brett,,http://www.pro-football-reference.com,
Theron Ward,,http://www.pro-football-reference.com,
Sheldon Beise,,http://www.pro-football-reference.com,
Gene Rose,,http://www.pro-football-reference.com,
Harry Shuford,,http://www.pro-football-reference.com,
Wilson Groseclose,,http://www.pro-football-reference.com,
Dick Sandefur,,http://www.pro-football-reference.com,
Bobby Wilson,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/bobby-wilson-1.html
Stan Riordan,,http://www.pro-football-reference.com,
Verne Oech,,http://www.pro-football-reference.com,
Darrell Lester,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/darrell-lester-1.html
Kavanaugh Francis,,http://www.pro-football-reference.com,
Ed Jontos,,http://www.pro-football-reference.com,
Al Barabas,,http://www.pro-football-reference.com,
Larry Lutz,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/larry-lutz-1.html
Maurice Orr,,http://www.pro-football-reference.com,
Joe Maniaci,,http://www.pro-football-reference.com,
Ted Christofferson,,http://www.pro-football-reference.com,
Ettore Antonini,,http://www.pro-football-reference.com,
